NOMBRE,Place address,name,address
Instalación Deportiva  Básica Embalse de San Juan,CALLE EMBALSE DE SAN JUAN 1,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Alto del Retiro,CALLE ALTO DEL RETIRO 13,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida de Cerro Milano,AVENIDA CERRO MILANO 1,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida de las Suertes,AVENIDA avenida de las Suertes s/n,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,AVENIDA ENSANCHE DE VALLECAS 11,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida del Mediterráneo,INST. DEPORTIVA BASICA LUIS MITJANS s/n,Valderribas,Calle Doctor Esquerdo nº 191
Instalación Deportiva Básica Camino de la Suerte,CAMINO SUERTE 25,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Circuito de Automodelismo,CALLE NAVAMURES 2,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Colonia Vilda,CALLE PUENTELARRA 1,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Eduardo Chillida,CALLE EDUARDO CHILLIDA 1,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo),JARDIN JOSE LUIS SAMPEDRO s/n,Fernando el Católico,Calle Fernando el Católico nº 19
Instalación Deportiva Básica Jardines del Teniente Alcalde,CALLE Jardines del Teniente Alcalde 49,Canal,Calle José Abascal frente al nº 2
Instalación Deportiva Básica La Unión,CALLE ENRIQUE GARCIA ALVAREZ 58,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Nuestra Señora de la Torre,TRAVESIA PUERTO DE REINOSA 2,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica P.A.R. Castrillo de Aza,AVENIDA SANTA EUGENIA 1,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parkour,AVENIDA LA GAVIA 39,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Real de Arganda,CALLE REAL DE ARGANDA 45,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Santa Eugenia,CALLE ZAZUAR 12,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Villa de Vallecas,CALLE PUERTO DE PORZUNA 50,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque de Enrique Herreros,CALLE BRAVO MURILLO 49,Canal,Calle José Abascal frente al nº 2
Instalación Deportiva Básica Parque del Cementerio,CALLE MONTES DE BARBANZA 15,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parroquia Santa Eugenia,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 15,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Peñaranda de Bracamonte,CALLE PEÑARANDA DE BRACAMONTE 4,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Pista de Patinaje,CALLE PUERTO DE PORZUNA 0,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Poza de la Sal,CALLE POZA DE LA SAL 2,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Puentelarra,CALLE PUENTELARRA 12,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Puerto Lumbreras,INST. DEPORTIVA BASICA POZA DE LA SAL s/n,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Rocódromo,AVENIDA LA GAVIA 4,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Sala Municipal de Esgrima,AVENIDA FILIPINAS 7,Parque Santander,Calle Santander esquina con Avenida de Filipinas
Instalación Deportiva Básica Santa Eugenia,CALLE CERRO DE ALMODOVAR 11,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Skate Real de Arganda,CALLE REAL DE ARGANDA 49,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Stela Maris,CALLE PEÑARANDA DE BRACAMONTE 4,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez,AVENIDA ABRANTES 297,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Alameda de Osuna I,CALLE BALANDRO 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Alas,CALLE ALAS 2,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Albaicín,CALLE ALBAICIN 19,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Albaida,CALLE ALBAIDA S/N,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga,CALLE ALCALDE MARTIN DE ALZAGA S/N,Francos Rodríguez,Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Alerce,CALLE ALERCE 31,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Alfonso XIII,AVENIDA ALFONSO XIII 136,Colombia,Calle Colombia nº 7
Instalación Deportiva Municipal Básica Alhaurín,CALLE ALHAURIN 4,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Alicún,CALLE ALICUN 24,Chamartín,Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Aliseda,CALLE ALISEDA 0,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Almudena,CALLE NICOLAS SALMERON 8,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso),CALLE AJOFRIN s/n,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Americio,CALLE AMERICIO s/n,,
Instalación Deportiva Municipal Básica Ana Tutor,AVENIDA CARDENAL HERRERA ORIA 216,Pedro Rico,Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Andévalo,CALLE ANDEVALO 6,,
Instalación Deportiva Municipal Básica Anfevi,CALLE HACIENDA DE PAVONES 127,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Aniceto Marinas,CALLE ANICETO MARINAS 106,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Instalación Deportiva Municipal Básica Antonio Machado,CALLE ANTONIO MACHADO 14,Francos Rodríguez,Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Antonio Pirala,CALLE ANTONIO PIRALA s/n,Puente de Ventas,Avenida de Daroca nº 2
Instalación Deportiva Municipal Básica Arcaute,AVENIDA INVIERNO 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arcos de Jalón,CALLE ARCOS DE JALON s/n,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arequipa,CALLE AREQUIPA 12,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Arganda,CALLE ARGANDA 10,Madrid Río-Yeserías,Paseo de Yeserías nº 45
Instalación Deportiva Municipal Básica Arjona,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 11,Caramuel,Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Arriaga,AVENIDA DAROCA 95,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arroyo Belincoso,AVENIDA DOCTOR GARCIA TAPIA 76,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Arroyo Fontarrón,CALLE ARROYO FONTARRON 381,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Arroyo Media Legua,INST. DEPORTIVA BASICA ARROYO DE LA MEDIA LEGUA s/n,,
Instalación Deportiva Municipal Básica Arroyo de Opañel,CALLE ARROYO OPAÑEL 12,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Aster,AVENIDA ASTER 54,Colombia,Calle Colombia nº 7
Instalación Deportiva Municipal Básica Auditorio de Chamartín,PLAZA JOAQUIN RODRIGO 1,María Francisca 1,Calle María Francisca nº 1
Instalación Deportiva Municipal Básica Auditorio de Moratalaz,CALLE HACIENDA DE PAVONES 209,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Avenida Moratalaz M-30,CALLE RAMON ARECES 1,Camino Vinateros,Calle Camino de los Vinateros nº 28
Instalación Deportiva Municipal Básica Avenida San Luis I,AVENIDA SAN LUIS (frente al nº 86),Pío XII,Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Avenida de Burgos,AVENIDA BURGOS 18,Chamartín,Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Ayacucho,CALLE NEVADO DEL RUIZ 2,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Bacares,CALLE BACARES 9,Pío XII,Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Bacares (fútbol),CALLE BACARES 27,Chamartín,Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Bahía de Santander II,CALLE BAHIA DE SANTANDER 64,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Barceló,PLAZA BARCELO S/N,Barceló,Calle Barceló nº 7
Instalación Deportiva Municipal Básica Barrio El Querol - Spartak de Manoteras,CALLE TIJOLA 1,Manuel Caldeiro,Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Barrio Goya,CALLE SEPULVEDA 9,Caramuel,Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Barrio IV,CALLE LUIS DE HOYOS SAINZ 150,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas,CAMINO MONTORO 4,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete,CALLE HOSPITALET DE LLOBREGAT 11,Pedro Rico,Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Barrio del Aeropuerto,CALLE MEDINA DE POMAR 14,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Baterías - Barrio Alegría,CALLE JUAN PÉREZ ZÚÑIGA s/n,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Belzunegui,CALLE BELZUNEGUI s/n,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Bolera de la Mancha,CALLE TOMELLOSO 21,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Boston,CALLE BOSTON 1,Camilo José Cela,Avenida de Camilo José Cela nº 23
Instalación Deportiva Municipal Básica Brasil - General Yagüe,AVENIDA BRASIL 19,,
Instalación Deportiva Municipal Básica Briviesca,CALLE BRIVIESCA 4,Manuel Caldeiro,Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Brujas,CALLE BRUJAS 32,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Brunete,CALLE BRUNETE 1,Facultad Derecho,Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Bucaramanga,AVENIDA BUCARAMANGA s/n,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Burgo de Osma,CALLE BURGO DE OSMA 5,Pío XII,Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino,GLORIETA RIO ZANCARA 1,Facultad Derecho,Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Calanda,CALLE CALANDA 30,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Caleruega,CALLE CALERUEGA 52,Manuel Caldeiro,Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Camino Viejo de Leganés,CALLE CAMINO VIEJO DE LEGANES S/N,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Campo Aragón,AVENIDA RAFAEL ALBERTI 2,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Campo Fútbol Puerta Bonita,CALLE GENERAL RICARDOS 166,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Campo de Fútbol Rodríguez Sahagún,CALLE CAPITAN BLANCO ARGIBAY S/N,Francos Rodríguez,Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres,PASEO ERMITA DEL SANTO S/N,Caramuel,Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Campo de Fútbol Tierra,AVENIDA DOCTOR GARCIA TAPIA 113,Marroquina,Calle Camino de los Vinateros nº 108
Instalación Deportiva Municipal Básica Campo de fútbol Orcasitas,AVENIDA RAFAELA YBARRA 119,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Canal de Panamá,CALLE CANAL DE PANAMA S/N,Derechos Humanos,Calle Derechos Humanos nº 12
Instalación Deportiva Municipal Básica Canillas - Club Deportivo Canillas,CALLE AGUSTIN DE ITURBIDE 1,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Carlos II,CALLE CARLOS II 4,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Carlos Solé,CALLE CARLOS SOLE 19,Sierra Toledana,Camino de Valderribas nº 94
Instalación Deportiva Municipal Básica Carmen Amaya,AVENIDA DOCTOR GARCIA TAPIA 28-30,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Caronte,CALLE CARONTE 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Carril del Conde,CALLE CARRIL DEL CONDE frente nº 57,Condesa de Venadito,Calle Condesa de Venadito nº 2
Instalación Deportiva Municipal Básica Carrión de los Condes,PLAZA TEMPLARIOS 4,Pío XII,Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Casa Campo,PARQUE CASA DE CAMPO s/n,Puerta del Ángel,Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Casa Campo I Lago,PARQUE CASA DE CAMPO s/n,Puerta del Ángel,Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Casa Campo II Teleférico,PARQUE CASA DE CAMPO s/n,Puerta del Ángel,Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Casa Campo III,PARQUE CASA CAMPO S/N,Paseo de Moret,Paseo de Moret nº 11
Instalación Deportiva Municipal Básica Casa Campo IV,PARQUE CASA CAMPO S/N,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Instalación Deportiva Municipal Básica Casalarreina,CALLE CASALARREINA 28,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Casino de la Reina,CALLE CASINO 3,Embajadores 2,Glorieta de Embajadores nº 2
Instalación Deportiva Municipal Básica Castroserna,CALLE CASTROSERNA 2,Caramuel,Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Cazorla,CALLE CAMPILLO DE ARENAS 3,,
Instalación Deportiva Municipal Básica Cementerio Civil,AVENIDA DAROCA 101,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Cerro Blanco,CALLE ALBARDIN 7,,
Instalación Deportiva Municipal Básica Cerro Cabezuelos,CALLE VILLALOBOS 46,,
Instalación Deportiva Municipal Básica Cerro Negro,CALLE CERRO NEGRO 5,Puente de Vallecas,Avenida de la Albufera nº 6
Instalación Deportiva Municipal Básica Circuito Natural Footing Retiro,PARQUE EL RETIRO s/n,Antonio Maura,Calle Antonio Maura nº 15
Instalación Deportiva Municipal Básica Circuito de Footing Casa de Campo,PARQUE CASA DE CAMPO s/n,Puerta del Ángel,Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Ciudad Pegaso I,CALLE UNO S/N,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ciudad Pegaso II,CALLE SEIS S/N,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ciudad Pegaso III,CALLE ONCE S/N,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ciudad de Los Ángeles,CALLE ANOETA S/N,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Clara del Rey,CALLE CLARA DEL REY 61,Corazón de María,Calle Santa Hortensia nº 31
Instalación Deportiva Municipal Básica Club Deportivo Alzola,CALLE SEGURA 74,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Club de Petanca Esperanza de Canilllas,CALLE SILVANO 63,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Club de Petanca Peonias,CALLE PEONIAS 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Cocheras (Ciudad Lineal),CALLE SAN LAMBERTO s/n,,
Instalación Deportiva Municipal Básica Cocheras (Retiro),CALLE COCHERAS 1,Pedro Bosch,Calle Cerro de la Plata nº 2
Instalación Deportiva Municipal Básica Colombia,CALLE COLOMBIA 59,Colombia,Calle Colombia nº 7
Instalación Deportiva Municipal Básica Colonia Euskalduna,CALLE HERMANDAD DE DONANTES DE SANGRE 7,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Colonia Marconi,AVENIDA MARCONI s/n,,
Instalación Deportiva Municipal Básica Colonia San Cristóbal de Los Ángeles,CALLE ROCAFORT s/n,,
Instalación Deportiva Municipal Básica Colonia Sierra del Valle,CALLE PAYASO FOFO 7,,
Instalación Deportiva Municipal Básica Colonia los Taxistas,"CALLE SIERRA DE CUERDA LARGA 41, 43, 45 y 47",Sierra Toledana,Camino de Valderribas nº 94
Instalación Deportiva Municipal Básica Concejal Gabriel Fernández (Parque Cuña Verde),CALLE CUART DE POBLET 6,Caramuel,Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Conde Duque,CALLE SANTA CRUZ DE MARCENADO 21,Conde Duque,Calle Conde Duque nº 22
Instalación Deportiva Municipal Básica Condesa de Venadito,CALLE CONDESA DE VENADITO 7,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Cordel de Pavones,CALLE CORDEL DE PAVONES 11,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Cordel de Pavones I,CALLE CORDEL DE PAVONES 9,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Corregidor Diego de Valderrábano,CALLE CORREGIDOR DIEGO DE VALDERRABANO 24,Camino Vinateros,Calle Camino de los Vinateros nº 28
Instalación Deportiva Municipal Básica Cuevas de Almanzora,CALLE MOJACAR 2,Pío XII,Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Cuña Verde,INST. DEPORTIVA BASICA CUÑA VERDE VILLAAMIL 126,Francos Rodríguez,Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Cárcavas Oeste I,CALLE CARMEN RICO GODOY 40,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Cárcavas Oeste II,CALLE SAN ANDRES DE RABANEDO 1,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica David González Rubio,CALLE DOCTOR TOLOSA LATOUR 6-10,Glorieta de Cádiz,Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Dehesa del Príncipe,AVENIDA ARQUEROS 29,Caramuel,Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Diana,CALLE GALEON 25,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Doctor Cirajas,CALLE DOCTOR CIRAJAS 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Doctor Vallejo-Nájera,CALLE GASOMETRO 32,Paseo de la Esperanza,Paseo de la Esperanza nº 2
Instalación Deportiva Municipal Básica Drácena,CALLE DRACENA 42,Pío XII,Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Duque de Sevilla,CALLE DUQUE DE SEVILLA 1,María Francisca 1,Calle María Francisca nº 1
Instalación Deportiva Municipal Básica Echegaray,CALLE ENCOMIENDA DE PALACIOS 324,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica El Bosco,CALLE EL BOSCO 14,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica El Bosque,PLAZA GOLMAYO 17,Pío XII,Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica El Capricho I,PASEO ALAMEDA DE OSUNA 48,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica El Capricho II,PASEO ALAMEDA DE OSUNA 46,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica El Cruce,CALLE SANTIAGO AMON 6y8,,
Instalación Deportiva Municipal Básica El Espinillo I,CALLE TERTULIA 7,,
Instalación Deportiva Municipal Básica El Espinillo II,CALLE CONSENSO 5,,
Instalación Deportiva Municipal Básica El Espinillo III,CALLE UNANIMIDAD s/n,,
Instalación Deportiva Municipal Básica El Parque,PASEO COMANDANTE FORTEA 25,Paseo de Moret,Paseo de Moret nº 11
Instalación Deportiva Municipal Básica El Pedernoso - Parque de Villa Rosa - Paco Caño,CALLE PEDROÑERAS 42,Carlota O’Neill,Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica El Plantío,CALLE RAFAEL VILLA S/N,Facultad Derecho,Avenida Complutense nº 23
Instalación Deportiva Municipal Básica El Torero,CALLE TORERO 10,,
Instalación Deportiva Municipal Básica El Vandel,CALLE FLORENCIO CANO CRISTOBAL 9,Pavones,Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Electra,CALLE CRONOS 65,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
